,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Suppressed for data year 2018 for select PUMAs,,,,,,,,,
us_citizen,7503,,0,285162,37920,61162,51413,46595,7858
not_us_citizen,,,,0,8842,76295,16496,42138,13158
-> Cameroonian,,,,,,,,,
us_citizen,3313,,57800,,60794,73308,61808,41101,19037
not_us_citizen,,,,,11027,47943,45542,34183,13971
-> Cape Verdean,,,,,,,,,
us_citizen,14748,0,1924,17293,34524,29062,29541,26499,15957
not_us_citizen,,,,0,15563,21207,24787,21551,10386
-> Congolese,,,,,,,,,
us_citizen,38,,,,28631,37139,40855,25269,11876
not_us_citizen,,,,,2367,17509,20996,15556,6703
-> Ethiopian,,,,,,,,,
us_citizen,-2122,0,0,21391,48073,44670,41420,26298,8699
not_us_citizen,,,150000,2800,38705,27071,32577,21439,12681
-> Eritrean,,,,,,,,,
us_citizen,3414,,35000,90918,53313,42711,41752,20373,14944
not_us_citizen,,,,10500,39619,16437,40987,29842,9733
-> Gambian (2017 or later),,,,,,,,,
us_citizen,1511,,,0,19202,37602,59170,47712,1523
not_us_citizen,,,,,,10593,19218,26905,15927
-> Ghanaian,,,,,,,,,
us_citizen,7026,,25939,49603,45960,59538,53686,36279,18614
not_us_citizen,,,0,33543,21520,31495,41249,30686,16576
-> Guinean (2017 or later),,,,,,,,,
us_citizen,-7240,,,,,36678,35943,30583,3434
not_us_citizen,,,,15000,,0,19400,20415,8021
-> Kenyan,,,,,,,,,
us_citizen,-1273,,,0,31967,74911,58861,37041,14301
not_us_citizen,,,,24128,27669,51726,51417,30765,14892
-> Liberian,,,,,,,,,
us_citizen,-1964,,0,2333,28989,39870,37762,25080,19842
not_us_citizen,,,,2000,17146,22960,29361,19314,13559
-> Nigerian,,,,,,,,,
us_citizen,10273,,9438,27763,50352,67944,64296,45505,24001
not_us_citizen,,,230371,59000,39264,46126,46812,30655,14464
-> Senegalese,,,,,,,,,
us_citizen,-1503,,,,17429,38029,65648,45829,11803
not_us_citizen,,,,1700,57535,24179,25924,30389,14343
-> Sierra Leonean,,,,,,,,,
us_citizen,14174,,0,8397,23602,42937,45619,38614,13976
not_us_citizen,,,,,40875,39283,32104,29981,11471
-> Somali,,,,,,,,,
us_citizen,-7154,0,,0,36530,44232,25959,13930,6299
not_us_citizen,,,39675,,10000,14946,20201,11080,4681
-> South African,,,,,,,,,
us_citizen,15899,0,29496,36686,58343,82624,79310,64979,39253
not_us_citizen,,,,,29699,102170,50445,44230,43790
-> Sudanese,,,,,,,,,
us_citizen,-4267,,,3873,68522,49330,34878,19710,4164
